albumID,name,release,art,genre,artist
1,Upside Down,Fri Dec 02 2016 14:28:36,https://loremflickr.com/800/800?lock=13685,Honky Tonk,Elizabeth Kerluke
2,Sweet Child O' Mine,Sun Jan 07 2018 19:05:57,https://loremflickr.com/800/800?lock=97751,Brazilian,Mandy Zulauf
3,Honky Tonk Woman,Mon Jul 20 2015 17:34:56,https://loremflickr.com/800/800?lock=39681,Jazz,Carl Hahn
4,Let's Stay Together,Mon Nov 14 2022 00:15:50,https://loremflickr.com/800/800?lock=64489,Funk,Dr. Katrina Kirlin I
5,Footloose,Thu Aug 24 2017 01:00:20,https://loremflickr.com/800/800?lock=3723,Grunge,Mr. Alfred Rice
6,The First Time Ever I Saw Your Face,Sun Nov 08 2015 15:24:18,https://loremflickr.com/800/800?lock=97418,Progressive,Ms. Mamie Rolfson
7,Kiss On My List,Tue May 28 2019 13:35:33,https://loremflickr.com/800/800?lock=32131,Electronic,Kelly Tillman Jr.
8,Mama Told Me Not to Come,Sat Feb 16 2013 04:36:17,https://loremflickr.com/800/800?lock=96296,Outlaw Country,Jody Koch
9,Little Darlin',Mon Aug 31 2015 19:57:23,https://loremflickr.com/800/800?lock=1957,Disco,Ramona Boehm
10,Yeah!,Tue Nov 10 2015 15:55:45,https://loremflickr.com/800/800?lock=23042,Ska,Jill Walter
11,Wake Me Up Before You Go Go,Tue Mar 24 2020 16:15:47,https://loremflickr.com/800/800?lock=66605,Jungle,Nathan Pfannerstill
12,Locked Out Of Heaven,Sun Jun 02 2013 17:46:34,https://loremflickr.com/800/800?lock=91881,Pop,Anita Pacocha
13,Reach Out (I'll Be There),Thu Sep 18 2014 09:40:49,https://loremflickr.com/800/800?lock=74264,Irish,Jill Stroman
14,Up Up & Away,Tue Oct 25 2022 00:41:48,https://loremflickr.com/800/800?lock=54736,Bluegrass,Nancy Hermiston
15,(You're My) Soul & Inspiration,Fri Dec 18 2015 12:24:17,https://loremflickr.com/800/800?lock=72281,Chinese,Ms. Hope Sipes
16,The Morning After,Fri Feb 16 2018 04:05:54,https://loremflickr.com/800/800?lock=89987,Soul,Terrence Gutkowski DVM
17,Down Hearted Blues,Tue May 30 2017 11:05:49,https://loremflickr.com/800/800?lock=30147,Salsa,Steven Hintz
18,The Glow-Worm,Sun Apr 08 2018 04:42:09,https://loremflickr.com/800/800?lock=90402,Drum and Bass,Shirley Grady PhD
19,Rich Girl,Thu Jun 16 2022 06:08:44,https://loremflickr.com/800/800?lock=12925,Blues,Dr. Tara Connelly
20,Sentimental Journey,Mon Mar 16 2020 19:25:35,https://loremflickr.com/800/800?lock=42390,Boom Bap,Dianne Tremblay II
21,Iris,Fri Dec 28 2018 21:57:26,https://loremflickr.com/800/800?lock=85271,Drum and Bass,Mr. Gregory Simonis
22,Gimme Some Lovin',Sat Feb 05 2022 15:11:16,https://loremflickr.com/800/800?lock=16466,Folk,Alonzo Lemke
23,Build Me Up Buttercup,Thu Nov 14 2019 19:02:49,https://loremflickr.com/800/800?lock=70678,Dubstep,Emanuel Koelpin
24,Uncle Albert (Admiral Halsey),Fri Nov 26 2021 05:20:28,https://loremflickr.com/800/800?lock=77344,Hip Hop,Ms. Gretchen Lesch
25,Gold Digger,Sat Dec 24 2016 15:30:05,https://loremflickr.com/800/800?lock=34728,Metal,Shelly Predovic
26,Everyday People,Tue Mar 08 2016 22:41:39,https://loremflickr.com/800/800?lock=45343,Delta Blues,Jessica Ziemann
27,Fortunate Son,Sun Nov 05 2017 05:52:43,https://loremflickr.com/800/800?lock=73792,American,Warren VonRueden
28,Thank You (Falettinme be Mice Elf Again),Tue Sep 29 2020 16:34:10,https://loremflickr.com/800/800?lock=63346,Creole,Mr. Max Hodkiewicz
29,Ol' Man River,Mon Jan 11 2016 19:22:36,https://loremflickr.com/800/800?lock=51019,Classical,Julio Kuhlman
30,Incense & Peppermints,Thu Sep 20 2018 00:33:56,https://loremflickr.com/800/800?lock=28108,Flamenco,Maggie Monahan
31,Just My Imagination (Running Away With Me),Thu Jul 21 2016 08:08:36,https://loremflickr.com/800/800?lock=86966,Merengue,Judith Farrell
32,Heartbreak Hotel,Mon Sep 29 2014 11:41:58,https://loremflickr.com/800/800?lock=88652,Pop,Kristi Muller
33,(Sittin' On) the Dock of the Bay,Thu Jun 16 2022 20:58:46,https://loremflickr.com/800/800?lock=14634,Zydeco,Edmund Renner
34,Gonna Make You Sweat (Everybody Dance Now),Wed May 10 2017 22:04:47,https://loremflickr.com/800/800?lock=85425,Dubstep,Brandy Paucek
35,Incense & Peppermints,Sun May 02 2021 04:44:33,https://loremflickr.com/800/800?lock=12353,Zydeco,Danny Connelly
36,Night Fever,Fri May 10 2019 21:07:14,https://loremflickr.com/800/800?lock=6722,Tejano,Paula Braun
37,Fly Robin Fly,Wed Jul 03 2013 00:50:18,https://loremflickr.com/800/800?lock=71238,Bluegrass,Raul Maggio
38,Gangsta's Paradise,Fri Jul 10 2020 07:28:33,https://loremflickr.com/800/800?lock=69331,Symphonic,Mrs. Jean Ledner
39,The Long & Winding Road,Tue Jan 24 2017 07:34:31,https://loremflickr.com/800/800?lock=61982,Disco,Brent Hirthe
40,Get Down Tonight,Sat Nov 16 2013 20:12:40,https://loremflickr.com/800/800?lock=70952,Creole,Zachary Pouros DDS
41,Papa Was a Rolling Stone,Thu Jan 29 2015 02:56:50,https://loremflickr.com/800/800?lock=1577,Trance,Dana Haag
42,Over the Rainbow,Mon Apr 09 2018 22:15:28,https://loremflickr.com/800/800?lock=22083,Honky Tonk,Kari Hamill
43,Feel Like Making Love,Thu Mar 07 2019 12:22:37,https://loremflickr.com/800/800?lock=84412,Thrash,Roman Mayert
44,One More Try,Thu May 03 2018 05:33:28,https://loremflickr.com/800/800?lock=95519,World,Daisy Tromp
45,Crazy For You,Sat Oct 24 2020 12:18:13,https://loremflickr.com/800/800?lock=38555,Pop,John Rodriguez
46,Harper Valley PTA,Thu Nov 12 2015 16:24:27,https://loremflickr.com/800/800?lock=45364,Alternative,Veronica Stark
47,Just the Way You Are,Sun Feb 14 2016 07:09:19,https://loremflickr.com/800/800?lock=54822,Ska,Dr. Krista Cassin
48,Me & Bobby McGee,Wed Feb 05 2014 19:59:30,https://loremflickr.com/800/800?lock=83681,Death,Ms. Herbert Gutmann
49,Runaround Sue,Thu May 14 2015 21:35:43,https://loremflickr.com/800/800?lock=81030,Latin,Lorena Bahringer
50,Auf Wiederseh'n Sweetheart,Sat Feb 08 2020 13:48:45,https://loremflickr.com/800/800?lock=56110,Southern Rock,Gertrude Kling
51,These Boots Are Made For Walking,Fri Sep 11 2020 10:30:58,https://loremflickr.com/800/800?lock=54427,Jungle,Fred Gleason
52,Near You,Wed Aug 09 2017 12:36:33,https://loremflickr.com/800/800?lock=18724,Metal,Elizabeth Ruecker
53,Vaya Con Dios (may God Be With You),Wed May 22 2013 01:55:33,https://loremflickr.com/800/800?lock=61291,Reggaeton,Charlene Feest
54,Strange Fruit,Sat May 06 2017 21:32:13,https://loremflickr.com/800/800?lock=99747,American,Vanessa Johnson
55,Cat's in the Cradle,Tue Jul 05 2016 16:08:55,https://loremflickr.com/800/800?lock=18796,Pop,Vicky Grimes
56,Gold Digger,Mon Feb 23 2015 05:36:42,https://loremflickr.com/800/800?lock=61561,Country,Alejandro Littel
57,I Feel Love,Sat Feb 09 2019 20:22:42,https://loremflickr.com/800/800?lock=70064,Doom,Van Thompson
58,Red Red Wine,Sun Oct 18 2015 11:43:09,https://loremflickr.com/800/800?lock=23786,Arabic,Margaret Zieme
59,Kiss,Sat Nov 14 2020 10:37:16,https://loremflickr.com/800/800?lock=94084,Technical,Josefina Effertz
60,I'm Your Boogie Man,Fri Sep 13 2019 04:31:03,https://loremflickr.com/800/800?lock=15511,Reggaeton,Sheryl Veum
61,There goes my baby,Tue Jun 03 2014 14:51:48,https://loremflickr.com/800/800?lock=88945,Dubstep,Saul Heathcote I
62,Ole Buttermilk Sky,Sat Oct 24 2020 07:02:37,https://loremflickr.com/800/800?lock=22166,Trap,Sophia Boyle II
63,Don't Let the Sun Go Down On Me,Thu Aug 12 2021 05:25:27,https://loremflickr.com/800/800?lock=39301,Chicago Blues,May Muller
64,Lady,Thu Nov 29 2018 16:04:26,https://loremflickr.com/800/800?lock=19246,Disco,Hector Terry
65,Miss You,Mon Mar 04 2019 21:53:39,https://loremflickr.com/800/800?lock=48137,Cajun,Courtney Cole PhD
66,That's the Way Love Goes,Thu Apr 17 2014 05:37:32,https://loremflickr.com/800/800?lock=34657,Pop,Jesse Nikolaus
67,We Built This City,Mon Sep 04 2017 12:52:22,https://loremflickr.com/800/800?lock=26172,Soul,Daryl Schaefer
68,Love's Theme,Wed Mar 28 2018 06:51:19,https://loremflickr.com/800/800?lock=50765,Chinese,Evan Kohler
69,Being With You,Sat Dec 29 2018 12:40:10,https://loremflickr.com/800/800?lock=67737,Scottish,Paul Sanford
70,Stand By Me,Wed Apr 20 2016 10:09:29,https://loremflickr.com/800/800?lock=47137,Classical,Emily Stroman
71,Save the Last Dance For Me,Fri Oct 21 2016 16:14:22,https://loremflickr.com/800/800?lock=26122,Chinese,Wade Goyette
72,Jailhouse Rock,Thu Jan 18 2018 23:58:58,https://loremflickr.com/800/800?lock=40927,Korean,Karen Rohan
73,Working My Way Back to You,Fri Apr 09 2021 17:42:33,https://loremflickr.com/800/800?lock=69426,Merengue,Mario Koch
74,Whip It,Wed Sep 23 2015 06:44:20,https://loremflickr.com/800/800?lock=79158,American,Sara Jacobi
75,Earth Angel,Mon Jun 18 2018 11:35:01,https://loremflickr.com/800/800?lock=7293,Metal,Hattie Zboncak
76,Delicado,Fri Oct 20 2017 07:30:46,https://loremflickr.com/800/800?lock=23019,Drum and Bass,Dwight Ortiz
77,Every Breath You Take,Tue Jun 02 2020 03:33:52,https://loremflickr.com/800/800?lock=14939,Pop,Blake Mohr
78,Mony Mony,Tue Aug 07 2018 00:47:12,https://loremflickr.com/800/800?lock=53495,Tex-Mex,Viola DuBuque
79,My Sharona,Wed Sep 21 2016 16:20:14,https://loremflickr.com/800/800?lock=50021,Grunge,Mario McLaughlin
